job_role,category,level,salary,skills
Data_Scientist,AI,Mid,$1500-$3000,"Python,SQL,Machine_Learning,Statistics,Data_Visualization,Pandas,Numpy"
Machine_Learning_Engineer,AI,Senior,$2500-$5000,"Python,TensorFlow,PyTorch,Deep_Learning,MLOps,Cloud_Computing,Statistics"
AI_Engineer,AI,Senior,$2500-$5500,"Python,Machine_Learning,Deep_Learning,Transformers,PyTorch,Math,Statistics"
Data_Analyst,Data,Junior,$800-$1500,"SQL,Excel,Python,Tableau,Data_Visualization,Statistics"
Data_Engineer,Data,Mid,$2000-$4000,"Python,SQL,ETL,Big_Data,Spark,Airflow,Databases"
Business_Analyst,Business,Junior,$1000-$2000,"Excel,SQL,Business_Intelligence,Data_Visualization,Communication"
DevOps_Engineer,Software,Senior,$2500-$5000,"Linux,Docker,Kubernetes,CI/CD,AWS,Python,Automation"
Cloud_Architect,Cloud,Senior,$3000-$6000,"AWS,Azure,Cloud_Computing,Networking,Security,Automation"
Cybersecurity_Analyst,Security,Mid,$2000-$4000,"Network_Security,Python,Ethical_Hacking,Risk_Analysis,Compliance"
Frontend_Developer,Web,Junior,$1000-$2500,"HTML,CSS,JavaScript,React,UI/UX,Git"
Backend_Developer,Web,Mid,$1500-$3500,"Python,Node.js,Django,Flask,APIs,SQL,Databases"
Full_Stack_Developer,Web,Mid,$2000-$4000,"JavaScript,React,Node.js,Python,APIs,Databases,Git"
Mobile_Developer,Mobile,Mid,$1500-$3500,"Kotlin,Swift,Flutter,React_Native,Firebase"
Software_Engineer,Software,Mid,$2000-$4000,"Python,Java,OOP,DSA,System_Design,Git"
Game_Developer,Software,Mid,$1500-$3500,"C++,Unity,C#,Game_Physics,Math"
NLP_Engineer,AI,Senior,$3000-$6000,"Python,NLP,Transformers,Deep_Learning,LLMs"
Computer_Vision_Engineer,AI,Senior,$3000-$6000,"Python,OpenCV,Deep_Learning,PyTorch,Image_Processing"
MLOps_Engineer,AI,Senior,$3000-$6000,"Docker,Kubernetes,CI/CD,Cloud_Computing,Python,ML_Models"
Database_Administrator,Data,Mid,$1500-$3000,"SQL,Database_Design,Performance_Tuning,Backup"
IT_Support_Specialist,IT,Junior,$800-$1500,"Networking,Hardware,Windows,Linux,Troubleshooting"
